id_in_session,code,_is_bot,_index_in_pages,_max_page_index,_current_app_name,_current_page_name,time_started_utc,visited,participant_code,session_code,is_demo,real_world_currency_per_point,name,participation_fee,id_in_group,payoff,reserve_m_1,reserve_m_2,value_1,value_1_1,value_1_2,value_1_3,value_1_4,value_1_5,value_1_6,value_2,value_2_1,value_2_2,value_2_3,value_2_4,value_2_5,value_2_6,value_1_max,value_2_max,reserve_p_2,upfront_2,random_m_1,random_m_2,reserve_2,profit_1,profit_2,profit,get_1,get_2,revenue,revenue_1,revenue_2,account_1,account_2,account,earn,bonus,getmyerson_1,getmyerson_2,getpost_2,lucky,finalpay,quiz1,quiz2,quiz3,quiz4,p_reserve_m_1,p_reserve_m_2,p_value_1,p_value_1_1,p_value_1_2,p_value_1_3,p_value_2,p_value_2_1,p_value_2_2,p_value_1_max,p_value_2_max,p_reserve_p_2,p_upfront_2,p_random_m_1,p_random_m_2,p_reserve_2,p_profit_1,p_profit_2,p_profit,p_get_1,p_get_2,p_revenue,p_revenue_1,p_revenue_2,p_getmyerson_1,p_getmyerson_2,p_getpost_2,p_bid_1,p_enter_2,p_bid_2,bid_1,enter_2,bid_2,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,lottery7,lottery8,lottery9,lottery10,survey1,survey2,survey3,survey4,survey5,survey6,surveyid,id_in_subsession,round_number,date,treatment,survey3grad
1,wmo3cmsz,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:28:42.961932,1,62.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,1,62.0,2.0,2.0,4.0,0,1,0,0,0,0,2.0,1,0,0,0,0,0,8.0,4.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,12.0,1.0,1.0,6.0,0.0,6.0,54.0,54.0,62.0,6.2,8.0,1.0,1.0,1.0,9,16.2,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0,1,0,4.0,1,0,8.0,8.0,1.0,4.0,0.0,1.0,4.0,4.0,0.0,4.0,1.0,1.0,8.0,0.0,8.0,1.0,1.0,1.0,4.0,1.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,7.0,2.28,Break even,Low bid,1,1,1,0913,1,
2,xjc4w6yi,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:29:18.101488,1,60.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,2,60.0,2.0,2.0,4.0,0,1,0,0,0,0,4.0,0,1,0,0,0,0,8.0,8.0,0.0,6.0,0.0,0.0,0.0,4.0,-2.0,10.0,1.0,1.0,6.0,0.0,6.0,54.0,52.0,60.0,6.0,8.0,1.0,1.0,1.0,10,16.0,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,4.0,1,0,12.0,8.0,0.0,5.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,1.0,13.0,4.0,9.0,1.0,1.0,1.0,6.0,1.0,6.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,9.0,2.6,"I simply bid higher than my value, to ensure I had a chance. The bigger the true value the higher the bid","I simply bid higher than my value, to ensure I had a chance. The bigger the true value the higher the bid",2,1,1,0913,1,
3,f1fxlo40,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:30:09.319737,1,57.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,3,57.0,2.0,2.0,4.0,0,1,0,0,0,0,8.0,0,0,1,0,0,0,8.0,16.0,8.0,2.0,0.0,0.0,8.0,4.0,-2.0,7.0,1.0,0.0,2.0,0.0,2.0,54.0,52.0,57.0,5.7,5.0,1.0,1.0,0.0,9,15.7,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0,1,0,4.0,1,0,8.0,8.0,0.0,5.0,0.0,1.0,4.0,4.0,0.0,4.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,2.0,3.1,I thought about it,I thought about it,3,1,1,0913,1,
5,pvy3pm8j,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:32:01.372702,1,66.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,5,66.0,2.0,2.0,2.0,1,0,0,0,0,0,2.0,1,0,0,0,0,0,4.0,4.0,8.0,2.0,1.0,0.0,8.0,0.0,0.0,16.0,1.0,0.0,2.0,2.0,0.0,50.0,50.0,66.0,6.6,16.0,1.0,0.0,0.0,3,16.6,0.0,0.0,1.0,0.0,4.0,4.0,2.0,1,0,0,6.0,0,1,4.0,12.0,3.0,2.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,8.0,2.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22.0,3.0,,,,5,1,1,0913,1,
6,goqg8xni,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:33:49.638664,1,56.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,6,56.0,2.0,2.0,2.0,1,1,0,0,0,0,2.0,1,0,0,0,0,0,4.0,4.0,8.0,2.0,1.0,0.0,8.0,0.0,-2.0,6.0,1.0,0.0,4.0,2.0,2.0,50.0,48.0,56.0,5.6,8.0,1.0,1.0,0.0,7,15.6,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0,1,0,6.0,0,1,8.0,12.0,1.0,4.0,0.0,1.0,4.0,4.0,2.0,6.0,1.0,1.0,8.0,0.0,8.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,5.0,3.0,I bid the amount of points that I valued the item as.,"I don't take many risks, if there's a less than 50% chance I can get a higher amount of points I won't take it.",12,1,1,0913,1,
8,jaq6oi6x,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:38:51.260123,1,54.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,8,54.0,2.0,2.0,2.0,1,0,0,0,0,0,2.0,1,0,0,0,0,0,4.0,4.0,2.0,4.0,1.0,0.0,2.0,0.0,-4.0,4.0,1.0,1.0,8.0,2.0,6.0,50.0,46.0,54.0,5.4,8.0,1.0,1.0,1.0,7,15.4,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,4.0,1,0,12.0,8.0,0.0,5.0,0.0,1.0,4.0,6.0,0.0,6.0,1.0,1.0,9.0,0.0,9.0,1.0,1.0,1.0,6.0,1.0,6.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,2.0,,,,8,1,1,0913,1,
9,3zryn4ic,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:39:28.326743,1,70.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,9,70.0,2.0,2.0,2.0,1,0,0,0,0,0,4.0,0,1,0,0,0,0,4.0,8.0,4.0,3.0,0.0,1.0,2.0,2.0,2.0,20.0,1.0,1.0,5.0,0.0,5.0,52.0,54.0,70.0,7.0,16.0,1.0,1.0,1.0,5,17.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0,1,0,4.0,1,0,8.0,8.0,0.0,5.0,0.0,1.0,4.0,4.0,0.0,4.0,1.0,1.0,9.0,0.0,9.0,1.0,1.0,1.0,5.0,1.0,6.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,2.79,Bid high since I had a better chance of winning and I still only had to pay whatever the original fee was,Bid my price since I paid the membership fee,9,1,1,0913,1,
10,0nn4wr8s,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:33:03.535544,1,62.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,10,62.0,2.0,2.0,2.0,1,0,0,0,0,0,4.0,0,1,0,0,0,0,4.0,8.0,16.0,1.0,0.0,1.0,2.0,2.0,2.0,12.0,1.0,1.0,3.0,0.0,3.0,52.0,54.0,62.0,6.2,8.0,0.0,1.0,0.0,10,16.2,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,4.0,1,0,12.0,8.0,4.0,1.0,1.0,0.0,4.0,0.0,-1.0,-1.0,0.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,19.0,3.0,3.79,using the distribution table I sold for whatever the most way that was lower than my true value so I could take less risk keep a profit,I bought the fee so I ended up increasing my bid using the profit from the first round,10,1,1,0913,1,
11,1svy5qcr,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:33:32.621909,1,70.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,11,70.0,2.0,2.0,4.0,0,1,0,0,0,0,2.0,1,0,0,0,0,0,8.0,4.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,20.0,1.0,1.0,6.0,0.0,6.0,54.0,54.0,70.0,7.0,16.0,1.0,1.0,1.0,3,17.0,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,4.0,1,0,12.0,8.0,0.0,5.0,0.0,0.0,0.0,6.0,-1.0,5.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,8.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,,,,11,1,1,0913,1,
12,sd6izmxw,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:36:39.330331,1,60.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,12,60.0,2.0,2.0,4.0,0,1,0,0,0,0,2.0,1,0,0,0,0,0,8.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,10.0,1.0,1.0,8.0,2.0,6.0,52.0,52.0,60.0,6.0,8.0,1.0,1.0,1.0,10,16.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0,1,0,6.0,0,1,8.0,12.0,2.0,3.0,0.0,1.0,4.0,4.0,2.0,6.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,3.0,1.0,6.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,3.6,"made the highest bid possible, it was the safest option",made the highest bid possible,6,1,1,0913,1,
