id_in_session,code,_is_bot,_index_in_pages,_max_page_index,_current_app_name,_current_page_name,time_started_utc,visited,participant_code,session_code,is_demo,real_world_currency_per_point,name,participation_fee,id_in_group,payoff,reserve_m_1,reserve_m_2,value_1,value_1_1,value_1_2,value_1_3,value_1_4,value_1_5,value_1_6,value_2,value_2_1,value_2_2,value_2_3,value_2_4,value_2_5,value_2_6,value_1_max,value_2_max,reserve_p_2,upfront_2,random_m_1,random_m_2,reserve_2,profit_1,profit_2,profit,get_1,get_2,revenue,revenue_1,revenue_2,account_1,account_2,account,earn,bonus,getmyerson_1,getmyerson_2,getpost_2,lucky,finalpay,quiz1,quiz2,quiz3,quiz4,p_reserve_m_1,p_reserve_m_2,p_value_1,p_value_1_1,p_value_1_2,p_value_1_3,p_value_2,p_value_2_1,p_value_2_2,p_value_1_max,p_value_2_max,p_reserve_p_2,p_upfront_2,p_random_m_1,p_random_m_2,p_reserve_2,p_profit_1,p_profit_2,p_profit,p_get_1,p_get_2,p_revenue,p_revenue_1,p_revenue_2,p_getmyerson_1,p_getmyerson_2,p_getpost_2,p_bid_1,p_enter_2,p_bid_2,bid_1,enter_2,bid_2,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,lottery7,lottery8,lottery9,lottery10,survey1,survey2,survey3,survey4,survey5,survey6,surveyid,id_in_subsession,round_number,date,treatment,survey3grad,t,revenue_upfront,revenue_post,revenue_myerson,revenue_2_n,revenue_n,get_2_t,revenue_1_theory,upfront_theory,revenue_post_theory,revenue_2_theory,revenue_theory,revenue_post_t,revenue_2_enter,revenue_enter,revenue_n_t,revenue_min,revenue_min1,revenue_min2,diffbv_1,diffbv_2,overp1,overp2,diffbvp_1,diffbvp_2,over1,over2,diff1,diff2,diff_ave,profit_n,nonclair,risk,risks,theory_r1,theory_r2,theory_r,med1,lqt1,uqt1,iqr1,mean1,ls1,us1,outliers1,med,lqt,uqt,iqr,ls,us,mean,std,std1,std2,rev_1,std1t1,std2t1,rev_2,rev_t,rev_enter_t,rev_m,rev_m1,rev_m2,outliers,fpay,scenario,static
11,82z567qk,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-14 16:27:40.827586,1,54,bbp27rqb,0,.1,Non_clairvoyant_dynamic,0,11,54,2,2,4,0,1,0,0,0,0,2,1,0,0,0,0,0,8,4,4,3,1,0,4,2,-3,4,1,0,5,2,3,52,49,54,5.4000001,5,1,1,0,8,15.4,0,0,1,0,4,4,2,1,0,0,6,0,1,4,12,4,1,1,0,4,0,1,1,0,1,5,0,5,0,1,1,1,1,7,3,1,2,1,1,1,1,0,0,0,0,0,0,1,21,3,3.5899999,,,11,1,1,914,1,,1,3,3,0,3,5,0,2,4,4,4,6,3,4,6,4.5,0,2.8,3,-1,0,0,0,.75,1,0,0,.75,1,.875,-1,1,4,4,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
14,6il5gfhb,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-26 16:39:29.204065,1,68,5kbhy2vn,0,.1,Non_clairvoyant_dynamic,0,14,68,2,2,4,0,1,0,0,0,0,8,0,0,1,0,0,0,8,16,2,4,1,0,2,2,0,18,1,0,2,2,0,52,52,68,6.8000002,16,1,0,0,1,16.799999,0,0,1,0,4,4,6,0,0,1,4,1,0,12,8,1,4,0,0,1,6,0,6,1,,0,0,0,1,0,0,4,0,,4,0,,1,1,1,1,0,0,0,0,0,1,1,21,5,3,I made decisions in the first period by analyzing the percentage and the total random number .,By bidding a little more as i will get the price for secret price it self even if i bid more.,12,1,1,926,1,1,1,0,0,0,0,2,1,2,4,6,6,8,6,6,8,4.5,0,2.8,3,0,,0,1,1,,0,1,1,,0,2,1,4,5,1,3.5,4.5,,,,,,,,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,17,Scenario A,0
18,4zo57cxk,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:41:57.156072,1,68,igdrqddk,0,.1,Non_clairvoyant_dynamic,0,18,68,2,2,4,0,1,0,0,0,0,2,1,0,0,0,0,0,8,4,2,4,1,1,2,2,0,18,1,1,8,2,6,52,52,68,6.8000002,16,1,1,1,2,16.799999,0,0,1,0,4,4,6,0,0,1,4,1,0,12,8,1,4,0,0,1,6,-1,5,1,1,5,0,5,1,1,1,4,1,6,4,1,3,1,1,1,1,0,0,0,0,0,0,0,20,2,3.9200001,"When making a decision in the first period, I decided to pick between numbers to try and guess the secret number.","When making a decision in the second period, I chose to pay the membership fee and then proceeded to choose a number so I could get the membership waived. ",18,1,1,913,1,,1,0,0,2,2,4,0,2,4,4,2,4,4,2,4,4.5,0,2.8,3,0,1,0,1,1,1.5,0,1,1,1.5,1.25,2,1,4,4,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,17,Scenario A,0
17,yotcp6av,0,37,36,Non_clairvoyant_dynamic,Results,2021-10-10 16:35:06.273170,1,70,ihlggr6e,0,.1,Non_clairvoyant_dynamic,0,17,70,2,2,4,0,0,0,0,0,0,16,0,0,0,0,0,0,8,32,1,5,1,0,1,2,10,20,1,1,8,2,6,52,62,70,7,8,1,1,1,7,17,0,0,1,0,4,4,2,1,0,0,6,0,1,4,12,1,4,1,1,4,-2,2,0,1,1,12,4,8,1,1,1,4,1,6,5,1,6,1,1,1,1,1,0,0,0,0,0,0,21,10,3.3,give more bid ,"based on the membership fee, give the bid as less as possible",17,1,1,1010,1,0,1,5,6,0,6,8,1,2,4,5,5,7,6,5,7,4.5,0,2.8,3,1,-10,1,0,1.25,.375,1,0,1.25,.375,.8125,12,1,5,5,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,18,Scenario A,0
1,wmo3cmsz,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:28:42.961932,1,62,igdrqddk,0,.1,Non_clairvoyant_dynamic,0,1,62,2,2,4,0,1,0,0,0,0,2,1,0,0,0,0,0,8,4,2,4,0,1,2,4,0,12,1,1,6,0,6,54,54,62,6.1999998,8,1,1,1,9,16.200001,0,0,1,0,4,4,4,0,1,0,4,1,0,8,8,1,4,0,1,4,4,0,4,1,1,8,0,8,1,1,1,4,1,5,4,1,2,0,0,0,0,1,1,1,1,1,1,1,22,7,2.28,Break even,Low bid,1,1,1,913,1,,1,0,0,2,2,2,0,0,4,4,2,2,4,2,2,4.5,0,2.8,3,0,0,0,0,1,1,0,0,1,1,1,4,1,0,6,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,17,Scenario A,0
4,pd9l0s73,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-26 16:36:48.051127,1,58,5kbhy2vn,0,.1,Non_clairvoyant_dynamic,0,4,58,2,2,2,1,0,0,0,0,0,2,1,0,0,0,0,0,4,4,8,2,1,1,2,0,0,8,1,1,6,2,4,50,50,58,5.8000002,8,1,1,0,7,15.8,0,0,1,0,4,4,4,1,1,0,4,1,0,8,8,0,5,1,1,4,0,0,0,1,1,13,4,9,1,1,1,5,1,4,2,1,4,1,1,1,1,1,0,0,0,0,0,1,20,2,3.95,Random,"It depends on the chance to make more money. If I have the 1/10 chance to win 10 and 9/10 to win 8, I definitely would choose it. I have low risk to lose money and more likely to make ends meet. With the increase of proability of  earning more(16), I might choose to take a chance.",4,1,1,926,1,0,1,0,0,2,2,4,0,2,2,2,2,4,2,2,4,4.5,0,2.8,3,0,2,0,1,1,2,0,1,1,2,1.5,0,1,5,5,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
7,zfqkn9yf,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-14 16:27:16.774785,1,57,bbp27rqb,0,.1,Non_clairvoyant_dynamic,0,7,57,2,2,2,1,0,0,0,0,0,4,0,1,0,0,0,0,4,8,4,3,1,1,2,0,2,7,1,1,7,2,5,50,52,57,5.6999998,5,1,1,1,9,15.7,0,0,1,0,4,4,6,0,0,1,6,0,1,12,12,0,5,1,0,0,2,1,3,1,1,9,4,5,1,1,1,6,1,5,3,1,4,1,1,1,0,0,0,0,0,0,0,1,25,10,3.96,,,7,1,1,914,1,,1,0,0,2,2,4,0,2,2,2,2,4,3,2,4,4.5,0,2.8,3,1,0,1,0,1.5,1,1,0,1.5,1,1.25,2,1,3,3,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
17,y5c8be8u,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:41:36.784817,1,78,igdrqddk,0,.1,Non_clairvoyant_dynamic,0,17,78,2,2,4,0,1,0,0,0,0,16,0,0,0,1,0,0,8,32,4,3,0,1,2,4,14,28,1,1,5,0,5,54,68,78,7.8000002,10,1,1,1,2,17.799999,0,0,1,0,4,4,6,0,0,1,6,0,1,12,12,4,1,1,1,4,0,2,2,0,1,5,0,5,0,1,1,1,1,5,3,1,4,1,1,1,1,1,1,0,0,0,0,0,21,7,4,Just tried to pick the middle of the choices as well as bid the least amount,Just tried to pick the middle of the range and bid the least amount,17,1,1,913,1,,1,0,0,2,2,2,0,0,4,4,2,2,3,2,2,4.5,0,2.8,3,-1,-12,0,0,.75,.25,0,0,.75,.25,.5,18,1,6,6,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,18,Scenario A,0
16,jp62pz07,0,37,36,Non_clairvoyant_dynamic,Results,2021-10-10 16:34:59.787231,1,88,ihlggr6e,0,.1,Non_clairvoyant_dynamic,0,16,88,2,2,4,0,0,0,0,0,0,32,0,0,0,0,0,0,8,64,0,6,1,0,0,2,26,38,1,1,8,2,6,52,78,88,8.8000002,10,1,1,1,2,18.799999,0,0,1,0,4,4,4,0,1,0,4,1,0,8,8,0,5,1,0,0,0,-1,-1,1,1,9,4,5,1,1,1,5,1,6,6,1,14,1,1,0,0,1,1,0,1,0,0,0,21,4,2.9000001,"For the first period, i made my decision based upon the value i was given, and added 2.","For the second period, i made my decision based on the graph that showed the percentages for each chance. ",16,1,1,1010,1,0,1,6,6,0,6,8,1,2,4,4,4,6,6,4,6,4.5,0,2.8,3,2,-18,1,0,1.5,.4375,1,0,1.5,.4375,.96875,28,1,2,5,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,19,Scenario A,0
1,spyisqbw,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-26 16:30:59.911612,1,66,5kbhy2vn,0,.1,Non_clairvoyant_dynamic,0,1,66,2,2,2,1,0,0,0,0,0,2,1,0,0,0,0,0,4,4,8,2,1,1,2,0,0,16,1,1,6,2,4,50,50,66,6.5999999,16,1,1,0,1,16.6,0,0,1,0,4,4,4,1,1,0,4,1,0,8,8,0,5,1,0,0,0,-1,-1,1,1,9,4,5,1,1,1,6,1,6,2,1,3,1,0,0,1,0,0,0,0,0,0,0,22,4,3,,"When the probability of earning points was equal between the two options, I chose the option with more points available.",1,1,1,926,1,0,1,0,0,2,2,4,0,2,2,2,2,4,2,2,4,4.5,0,2.8,3,0,1,0,1,1,1.5,0,1,1,1.5,1.25,0,1,1,2,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,17,Scenario A,0
